title_length,desc_length,num_words,num_links,contains_telegram,suspicious_keyword_count,emoji_count,prize_amount,unrealistic_prize_flag,organizer_account_age,organizer_past_events,posting_frequency_24h,duplicate_similarity_score,external_link_domain_score,label
26,233,90,0,0,6,4,8578.569532689235,0,6,1,2,0.42904180608409975,0.408233797718321,1
15,107,81,3,1,1,3,45758.9107067958,0,4,0,4,0.615972509321058,0.055797544260816734,1
40,212,64,2,0,4,4,73602.51043195625,1,18,1,5,0.7037724259507192,0.7862528132298238,1
19,125,19,0,1,5,2,76017.97293024964,1,26,0,4,0.4171942605576092,0.2650089137415928,1
27,89,25,1,1,4,4,69691.61886409254,0,161,4,1,0.6989499894055426,0.07839314496765809,1
39,79,82,1,1,6,5,66219.63203719616,0,17,1,6,0.47046211248738135,0.3947547746402069,1
14,250,66,0,0,3,2,36296.93897460367,0,122,4,5,0.13476071785753893,0.24931925073102318,1
14,293,77,1,1,6,4,47909.8312123098,0,23,4,5,0.31397343616689855,0.2245108790277985,1
31,206,30,4,1,5,4,23531.079553417458,0,25,0,2,0.25257120734941085,0.564153169214252,1
26,131,91,2,1,5,1,64887.74395581663,0,3,1,0,0.3614381770563153,0.07462802355441434,1
38,66,47,5,0,0,0,27160.601196642023,0,15,1,6,0.8090073829612465,0.20429892103102631,1
13,297,37,1,1,5,2,73841.76492789139,1,27,1,0,0.3915346248162882,0.10071291833014567,1
12,86,64,1,1,3,4,41716.15541229698,0,25,1,6,0.8541329429833269,0.19578110411102523,1
37,230,84,3,0,3,0,23636.863398311434,0,30,1,2,0.7167648553804473,0.3341209982356952,1
31,100,71,0,1,4,4,5431.119274329937,0,20,1,2,0.7225863952047249,0.15469413852021496,1
27,120,65,0,1,6,1,3535.2513924400287,0,101,1,1,0.808611100100608,0.4372411071223597,1
19,128,28,2,0,1,0,68889.43035684596,0,20,1,2,0.8435432121325587,0.46465148563784553,1
30,87,42,3,1,6,2,13475.59051107304,0,8,0,2,0.674366894683293,0.08970772378422393,1
