title_length,desc_length,num_words,num_links,contains_telegram,suspicious_keyword_count,emoji_count,prize_amount,unrealistic_prize_flag,organizer_account_age,organizer_past_events,posting_frequency_24h,duplicate_similarity_score,external_link_domain_score,label
59,870,156,6,1,3,24,18986.694728308677,1,866,470,15,0.046744304032400597,0.39829958013994116,447
17,871,9,4,0,22,13,68339.17227947427,1,3553,439,28,0.10290799357021918,0.69053685817136,700
14,897,97,1,0,19,20,79006.68852128298,1,3636,236,50,0.03231681836308897,0.3343536439297853,298
39,180,74,4,1,22,3,18282.867154798736,0,158,347,25,0.5498023633864022,0.46222750015280156,568
15,558,37,6,1,2,20,24173.522278430224,1,2609,406,48,0.671980649160686,0.14095836253449034,757
99,329,83,3,0,4,0,69420.04220174532,0,444,16,36,0.7806417513980274,0.3643528724458095,378
68,193,193,4,0,3,18,51864.320704271006,1,1530,331,27,0.2717677626930316,0.049637219039835645,690
20,159,97,0,1,8,21,20646.830860654176,0,1302,221,21,0.13139167040435018,0.07966746161877591,799
25,657,133,4,1,18,21,19668.976545750218,0,722,23,3,0.6565445081669775,0.8108654671843598,926
5,903,109,2,0,14,5,6916.5583163259835,1,3222,494,4,0.6037879635442484,0.33361228190079717,228
60,761,143,5,0,17,14,67676.34493006737,1,3067,159,8,0.6835150439790884,0.09255515005095538,36
25,148,80,4,0,14,20,19332.76126034459,1,1967,298,40,0.9029350041862025,0.8476798281749014,433
61,778,132,0,0,14,4,8055.728030058097,1,656,397,21,0.7716664032416279,0.36073252388293287,741
52,602,41,5,0,9,11,46105.76269413702,1,1504,57,37,0.0008459839209130626,0.9010575620661341,294
19,743,11,4,0,6,5,32063.474744024737,1,1425,300,50,0.3581160929212074,0.5686360159213929,732
33,608,43,0,1,1,0,61515.436570045305,0,810,251,37,0.7345514484466359,0.38550781944805823,168
93,400,88,2,0,3,24,47971.56684063515,1,2838,177,7,0.7474695103452269,0.4932995744134818,238
16,215,132,6,1,16,15,74305.2173918132,0,230,473,0,0.6386825094629834,0.11470341184695132,577
36,623,142,1,0,20,13,73904.75000874494,0,872,235,36,0.19517499437760977,0.9508211475122454,896
52,829,111,6,0,18,9,65693.84947549281,0,1611,337,5,0.06285413481782043,0.27531260681296454,719
72,548,63,2,0,17,7,58737.90106478163,1,3643,427,38,0.9893337703339138,0.8242379458010813,802
78,588,156,2,0,23,21,50898.58893952015,0,969,466,38,0.6691724227638904,0.3373203677324751,505
92,997,161,5,0,4,1,37252.5611132334,1,2935,492,45,0.407959023650623,0.9376555922072243,915
27,944,118,0,1,2,11,67597.9544432427,0,3080,493,35,0.4512481582265546,0.5891212359341188,455
54,888,162,4,1,20,22,37112.32929987135,0,1016,384,26,0.7683217825484864,0.38561285767372444,106
36,598,74,3,0,21,2,30945.819989673106,0,53,313,35,0.3231701118555599,0.42039918622489214,154
86,538,46,1,0,9,25,1050.8759643933186,0,1158,261,10,0.0742302850389771,0.6019773496348265,476
69,838,181,1,0,5,20,64233.62350826657,1,1933,34,13,0.9588746383467647,0.3026591060387427,80
99,717,74,4,0,9,14,47455.78595571137,0,3581,318,9,0.9736451897732636,0.9766864386438273,98
77,673,36,5,1,8,11,50190.37432926467,1,1879,102,29,0.8214163761795493,0.9365597931232303,595
9,235,4,0,0,3,13,38888.943091478715,1,2361,448,38,0.16150000480541615,0.42775906666679886,221
27,945,143,4,1,15,13,51574.90267501894,0,3332,76,19,0.7811064419986875,0.2705934999110572,885
54,521,101,2,1,16,9,46950.162604052515,1,365,88,50,0.0016775009153843223,0.38683962763354407,560
27,64,116,0,1,25,4,59383.52018739457,1,1128,308,45,0.9706244944866882,0.7384495674813872,784
8,670,66,1,0,4,20,72394.2274919706,0,3436,154,38,0.24238313574000536,0.9905604844813602,805
28,657,175,0,1,2,18,65948.48574551185,0,363,287,3,0.6628063665988516,0.7512985321969148,355
73,345,96,6,0,23,18,58408.8071433711,0,1593,144,16,0.4163869353157116,0.6977498980867355,234
82,946,198,1,0,21,8,9337.110428160744,0,2531,304,0,0.7893882408072503,0.07815153650048334,302
16,918,154,0,0,15,4,7150.139814806443,0,3617,213,20,0.15404337948775892,0.8702949212420802,868
89,144,10,3,0,21,13,21119.153363435926,0,2648,124,18,0.9634548021521402,0.7518519957662395,94
6,161,176,1,1,0,4,70719.3988010916,0,3059,238,36,0.4565352876915465,0.017660901866110024,574
5,41,25,3,1,11,21,54395.36457537213,1,2872,183,34,0.27682208096102234,0.07768789561942813,943
51,642,69,2,0,25,19,46685.4699149152,0,1136,248,21,0.18285051002905062,0.7710024102987733,633
15,223,143,6,0,24,15,61221.853145264875,0,2327,471,12,0.5893525583586515,0.5854788946626291,649
84,823,22,6,0,23,12,35183.090468876144,0,797,423,15,0.9447895758579654,0.975192226412182,341
81,38,192,0,0,15,21,67550.7082784477,1,2186,399,1,0.13971330808163362,0.2373825241744485,772
54,317,154,2,0,12,4,66952.88591914217,1,1391,355,42,0.4001760493929041,0.10490205642506267,618
